3.4M 20:53 scf-13M00004-E-1996-ind
3.4M 20:04 its-66M00010-E-1990-crta
3.4M 18:48 efc-13M0002-F-1990-fr
3.4M 20:54 scf-13M0001-E-1991-cf
3.4M 14:55 cchs-82M0013-E-2012-mental-health
3.4M 22:25 tsrc-87m0016-E-2011-trip-prelim
3.4M 19:18 escc-82M0013-F-2012-sante-mentale
3.3M 18:27 cts-87M0006-E-1992-pd
3.3M 18:27 cts-87M0006-E-1986-ptd
3.3M 18:27 cts-87M0006-E-1996-ptd
3.3M 22:28 vas-89M0011-E-1987-organization-file
3.3M 18:47 efc-13M0002-F-1982-par
3.3M 18:48 efc-13M0002-F-1990-fe
3.3M 20:53 scf-13M00004-E-1983-ind
3.3M 20:55 scf-13M0002-E-1991-ef
3.3M 18:34 eapa-89M0013-F-1991
3.3M 13:46 aps-89M0013-E-1991
3.3M 18:49 efc-13M0002-F-1997-par
3.3M 20:54 scf-13M00004-E-1998-ind
3.3M 13:50 ats-81C0044-E-1986
3.3M 18:47 efc-13M0002-F-1981-par
3.3M 20:53 scf-13M00004-E-1982-ind
3.2M 18:40 eda-62M0002-1990-fd-fr
3.2M 19:38 evrc-87M0016-F-2011-voyages
3.2M 22:25 tsrc-87m0016-E-2011-trip-final
3.2M 20:56 scf-64M0002-E-1987-hife
3.2M 19:40 famex-62M0001-E-1969
3.2M 20:56 scf-64M0002-E-1989-hife
3.2M 18:26 cts-87M0006-E-1980-ptd
3.2M 18:47 efc-13M0002-F-1986-par
3.2M 20:58 shs-62M0004-E-2009
3.2M 20:53 scf-13M00004-E-1987-ind
3.2M 18:26 cts-87M0006-E-1984-pd
3.2M 19:21 esg-12M0012XCB-F-1998-c12-fichier-principal
3.2M 19:42 gss-12M0012-E-1998-c-12-m
3.2M 19:21 esg-12M0013GPF-F-1999-c13-fichier-principal
3.2M 19:42 gss-12M0013-E-1999-c-13-m
3.2M 18:28 cts-87M0006-E-2000-ptd
3.2M 18:48 efc-13M0002-F-1991-fr
3.2M 20:54 scf-13M0001-E-1992-cf
3.2M 18:55 ENV-5232-F-2019-visite
3.2M 20:43 NTS-5232-E-2019-visit
3.1M 18:47 efc-13M0002-F-1987-fr
3.1M 20:54 scf-13M0001-E-1988-cf
3.1M 19:41 ffe-62M0002-E-1990-dhf
3.1M 18:40 edf-62M0001UCB-F-1996
3.1M 19:41 famex-62M0001-E-1996
3.1M 18:47 efc-13M0002-F-1984-par
3.1M 20:53 scf-13M00004-E-1985-ind
3.1M 13:34 aets-81M0013-E-1994
3.1M 18:48 efc-13M0002-F-1991-fe
3.1M 20:55 scf-13M0002-E-1992-ef
3.1M 18:27 cts-87M0006-E-1990-ptd
3.1M 18:27 cts-87M0006-E-1992-ptd
3.1M 18:40 ede-89M0019GPF-F-2002
3.1M 18:43 eds-89M0019-E-2002
3.0M 19:19 escc-82M0024-F-2004-cycle2-2
3.0M 15:29 cchs-82M0024-E-2004-c2-2
3.0M 19:11 epa-71M0001XCB-F-novembre-1991-remanie-2001
3.0M 19:14 epa-71M0001XCB-F-octobre-2009-remanie-2011
3.0M 20:30 lfs-71M0001XCB-E-1991-november-rebased
3.0M 20:15 LFS-71M0001-E-2009-October-Rebased2011
3.0M 21:02 sps-81M0010-E-1983-1984
3.0M 19:13 epa-71M0001XCB-F-octobre-1991-remanie-2001
3.0M 19:40 famex-62M0001-E-1982
3.0M 20:30 lfs-71M0001XCB-E-1991-october-rebased
3.0M 19:13 epa-71M0001XCB-F-octobre-1992-remanie-2001
3.0M 20:31 lfs-71M0001XCB-E-1992-october-rebased
3.0M 19:11 epa-71M0001XCB-F-novembre-1992-remanie-2001
3.0M 20:31 lfs-71M0001XCB-E-1992-november-rebased
3.0M 19:12 epa-71M0001XCB-F-novembre-2009-remanie-2011
3.0M 20:15 LFS-71M0001-E-2009-November-Rebased2011
3.0M 16:15 chs-E-1978-1979
3.0M 18:48 efc-13M0002-F-1992-fr
3.0M 20:54 scf-13M0001-E-1993-cf
